Text,Phonetic,Meaning,Example,DifficultyLevel
across,/əˈkrɒs/,adv. 穿过,It's too wide. We can't swim across.,1
act,/ækt/,n. 行为,You have committed a serious criminal act.,2
action,/ˈækʃn/,n. 行动,The time has come for action if these beautiful animals are to survive.,1
activate,/ˈæktɪveɪt/,v. 激活,The burglar alarm is activated by movement.,3
activation,/ˌæktɪˈveɪʃn/,n. 激活,The activation of several target genes results in two major effects.,4
active,/ˈæktɪv/,adj. 积极的,Staying physically active in later years can also keep you feeling younger. ,1
activist,/ˈæktɪvɪst/,n. 活动家,human/civil/animal rights activists,4
activity,/ækˈtɪvəti/,n. 活动,leisure/outdoor/recreational activities,1
actor,/ˈæktə(r)/,n. 演员,Both lead actors (= the ones who play the main parts) are outstanding.,1
actress,/ˈæktrəs/,n. 演员,The Oscar-winning actress has taken a break from acting.,1
actual,/ˈæktʃuəl/,adj. 实际的,James looks younger than his wife but in actual fact (= really) he is five years older.,3
actually,/ˈæktʃuəli/,adv. 实际上,What did she actually say?,1
acute,/əˈkjuːt/,adj. 急性,There is an acute shortage of water.,4
ad,/æd/,n. 广告,The TV ads were first run last year.,2
adapt,/əˈdæpt/,v. 适应,It's amazing how soon you adapt.,3
adaptation,/ˌædæpˈteɪʃn/,n. 适应,the adaptation of buildings for military purposes,4
add,/æd/,v. 添加,"add something, Next add the flour.",1
addiction,/əˈdɪkʃn/,n. 瘾,cocaine addiction,3
addition,/əˈdɪʃn/,n. 添加,All of these technologies are fairly recent additions.,2
additional,/əˈdɪʃənl/,adj. 额外的,additional resources/funds/security/funding/costs,3
additionally,/əˈdɪʃənəli/,adv. 此外,"Additionally, the bus service will run on Sundays, every two hours.",3
address,/əˈdres/,n. 地址,What's your name and address?,1
adequate,/ˈædɪkwət/,adj. 足够的,They'll need an adequate supply of hot water.,3
adequately,/ˈædɪkwətli/,adv. 充分地,Are you adequately insured?,3
adhere,/ədˈhɪə(r)/,v. 坚持,"Once in the bloodstream, the bacteria adhere to the surface of the red cells.",4
adjacent,/əˈdʒeɪsnt/,adj. 邻近的,The planes landed on adjacent runways.,4
adjust,/əˈdʒʌst/,v. 调整,"adjust something, Watch out for sharp bends and adjust your speed accordingly.",3
adjustment,/əˈdʒʌstmənt/,n. 调整,I've made a few adjustments to the design.,4
administer,/ədˈmɪnɪstə(r)/,v. 管理,to administer a charity/fund/school,4
administration,/ədˌmɪnɪˈstreɪʃn/,n. 行政,Administration costs are passed on to the customer.,3
administrative,/ədˈmɪnɪstrətɪv/,adj. 行政,an administrative job/assistant/error,4
administrator,/ədˈmɪnɪstreɪtə(r)/,n. 行政人员,Such organizational decisions are made by the hospital administrators.,4
admire,/ədˈmaɪə(r)/,v. 钦佩,"admire somebody/something, I really admire your enthusiasm.",2
admission,/ədˈmɪʃn/,n. 入场,Hospital admission is not necessary in most cases.,4
admit,/ədˈmɪt/,v. 承认,"It was a stupid thing to do, I admit.",2
adolescent,/ˌædəˈlesnt/,n. 青少年,adolescents between the ages of 13 and 18 and the problems they face,4
adopt,/əˈdɒpt/,v. 采纳,a campaign to encourage childless couples to adopt,3
adoption,/əˈdɒpʃn/,n. 采用,She put the baby up for adoption.,4
adult,/ˈædʌlt/,adj. 成人,preparing young people for adult life,1
advance,/ədˈvɑːns/,adj. 进步,Please give us advance warning of any changes.,3
advanced,/ədˈvɑːnst/,adj. 先进的,Scientists are working on highly advanced technology to replace fossil fuels.,2
advantage,/ədˈvɑːntɪdʒ/,n. 优势,a distinct/significant/huge advantage,1
adventure,/ədˈventʃə(r)/,n. 冒险,her adventures travelling in Africa,1
adverse,/ˈædvɜːs/,adj. 不利的,adverse change/circumstances/weather conditions,4
advertise,/ˈædvətaɪz/,v. 广告,If you want to attract customers you need to advertise.,1
advertisement,/ədˈvɜːtɪsmənt/,n. 广告,a newspaper/television advertisement,1
advertising,/ˈædvətaɪzɪŋ/,n. 广告,Cigarette advertising has been banned.,1
advice,/ədˈvaɪs/,n. 建议,expert/practical/professional/medical advice,1
advise,/ədˈvaɪz/,v. 建议,"advise against doing something, I would strongly advise against going out on your own.",2
advocate,/ˈædvəkət/,n. 提倡,"advocate for something/somebody, an advocate for hospital workers",4
aesthetic,/iːsˈθetɪk/,adj. 审美的,the aesthetic appeal of the songs,4
affair,/əˈfeə(r)/,n. 事务,world/international affairs,3
affect,/əˈfekt/,v. 影响,How will these changes affect us?,1
affection,/əˈfekʃn/,n. 感情,Children need lots of love and affection.,4
afford,/əˈfɔːd/,v. 买得起,"afford something, Can we afford a new car?",2
affordable,/əˈfɔːdəbl/,adj. 负担得起的,We offer quality products at affordable prices.,3
afraid,/əˈfreɪd/,adj. 害怕的,Don't be afraid.,1
after,/ˈɑːftə(r)/,adv. 后,"That was in 1996. Soon after, I heard that he'd died.",1
aftermath,/ˈɑːftəmæθ/,n. 后果,"in the aftermath of something, A lot of rebuilding took place in the aftermath of the war.",4
afternoon,/ˌɑːftəˈnuːn/,n. 下午,this/yesterday/tomorrow afternoon,1
afterwards,/ˈɑːftəwədz/,adv. 然后,Afterwards she was sorry for what she'd said.,3
again,/əˈɡen/,adv. 再次,This must never happen again.,1
against,/əˈɡenst/,prep. 反对,the fight against terrorism,1
age,/eɪdʒ/,n. 年龄,You're the same age as my brother.,1
aged,/eɪdʒd/,adj. 老年的,They have two children aged six and nine.,2
agency,/ˈeɪdʒənsi/,n. 机构,She works for an advertising agency.,3
agenda,/əˈdʒendə/,n. 议程,We have a very full agenda of issues to discuss.,3
agent,/ˈeɪdʒənt/,n. 代理人,Our agent in New York deals with all US sales.,2
aggression,/əˈɡreʃn/,n. 侵略,The research shows that computer games may cause aggression.,4
aggressive,/əˈɡresɪv/,adj. 挑衅的,Seals have been known to exhibit aggressive behaviour towards swimmers.,3
ago,/əˈɡəʊ/,adv. 前,two weeks/months/years ago,1
agree,/əˈɡriː/,v. 同意,"When he said that, I had to agree.",1
agreement,/əˈɡriːmənt/,"an arrangement, a promise or a contract made with somebody",an international peace agreement,2
agricultural,/ˌæɡrɪˈkʌltʃərəl/,adj. 农业,agricultural policy/land/production/development,4
agriculture,/ˈæɡrɪkʌltʃə(r)/,n. 农业,The number of people employed in agriculture has fallen in the last decade.,3
ah,/ɑː/,excl. 啊,"Ah, there you are!",1
ahead,/əˈhed/,adv. 前面,I'll run ahead and warn them.,2
aid,/eɪd/,n. 援助,humanitarian/food/medical aid,3
aide,/eɪd/,n. 助手,White House aides,4
AIDS,/eɪdz/,n. 艾滋病,the AIDS epidemic,3
aim,/eɪm/,n. 目的,the stated aims of the study ,2
air,/eə(r)/,n. 空气,Let's go out for some fresh air.,1
aircraft,/ˈeəkrɑːft/,n. 飞机,fighter/transport/military aircraft,3
airline,/ˈeəlaɪn/,a company that provides regular flights to take passengers and goods to different places,an airline pilot/passenger,1
airport,/ˈeəpɔːt/,n. 飞机场,Gatwick Airport,1
alarm,/əˈlɑːm/,n. 警报,She decided to sound the alarm (= warn people that the situation was dangerous).,2
albeit,/ˌɔːlˈbiːɪt/,conj. 尽管,"He finally agreed, albeit reluctantly, to help us.",4
album,/ˈælbəm/,n. 专辑,a photo album,2
alcohol,/ˈælkəhɒl/,n. 酒精,He never drinks alcohol.,2
alcoholic,/ˌælkəˈhɒlɪk/,adj. 酗酒的,alcoholic drinks/beverages,2
alert,/əˈlɜːt/,adj. 警报,Suddenly he found himself awake and fully alert.,4
alien,/ˈeɪliən/,adj. 外星人,an alien environment,4
align,/əˈlaɪn/,v. 对齐,Make sure the shelf is aligned with the top of the cupboard.,4
alignment,/əˈlaɪnmənt/,n. 结盟,"the alignment of the sun, moon and earth at a particular time",4
alike,/əˈlaɪk/,adj. 一样,My sister and I do not look alike.,4
alive,/əˈlaɪv/,adj. 活,Is your mother still alive?,1
all,/ɔːl/,adv. 全部,She was dressed all in white.,1
all right,/ɔːl ˈraɪt/,adj. 好的,Is the coffee all right?,1
allegation,/ˌæləˈɡeɪʃn/,n. 指控,to investigate/deny/withdraw an allegation,4
allege,/əˈledʒ/,v. 声称,"allege (that)…, The prosecution alleges (that) she was driving carelessly.",4
allegedly,/əˈledʒɪdli/,adv. 据称,crimes allegedly committed during the war,4
alliance,/əˈlaɪəns/,n. 联盟,to form/make an alliance,4
allocate,/ˈæləkeɪt/,v. 分配,"allocate something (for something), A large sum has been allocated for buying new books for the library.",4
allocation,/ˌæləˈkeɪʃn/,n. 分配,We have spent our entire allocation for the year.,4
allow,/əˈlaʊ/,v. 允许,"allow somebody/something to do something, His parents won't allow him to stay out late.",1
allowance,/əˈlaʊəns/,n. 津贴,an allowance of $20 a day,4
ally,/ˈælaɪ/,n. 盟友,our European/NATO allies,4
almost,/ˈɔːlməʊst/,adv. 几乎,I like almost all of them.,1
alone,/əˈləʊn/,adj. 独自的,"not alone in, Tom is not alone in finding Rick hard to work with.",1
along,/əˈlɒŋ/,adv. 沿着,I was just walking along singing to myself.,1
alongside,/əˌlɒŋˈsaɪd/,prep. 旁边,A police car pulled up alongside us.,3
already,/ɔːlˈredi/,adv. 已经,"‘Lunch?’ ‘No thanks, I've already eaten.’",1
also,/ˈɔːlsəʊ/,adv. 还,She's fluent in French and German. She also speaks a little Italian.,1
alter,/ˈɔːltə(r)/,v. 改变,Prices did not alter significantly during 2019.,3
alternative,/ɔːlˈtɜːnətɪv/,adj. 选择,The road was closed so we had to find an alternative route.,2
although,/ɔːlˈðəʊ/,conj. 虽然,"Although the sun was shining, it wasn't very warm.",1
altogether,/ˌɔːltəˈɡeðə(r)/,adv. 共,The train went slower and slower until it stopped altogether.,3
aluminium,/ˌæljəˈmɪniəm/,n. 铝,aluminium saucepans/window frames,4
always,/ˈɔːlweɪz/,adv. 总是,There's almost always somebody at home in the evenings.,1
amateur,/ˈæmətə(r)/,adj. 业余,an amateur photographer,4
amazed,/əˈmeɪzd/,adj. 惊讶,an amazed look,2
amazing,/əˈmeɪzɪŋ/,adj. 惊人的,an amazing feat/story/experience,1
ambassador,/æmˈbæsədə(r)/,n. 大使,the British Ambassador to Italy/in Rome,4
ambition,/æmˈbɪʃn/,n. 志向,She had fulfilled her lifelong ambition.,2
ambitious,/æmˈbɪʃəs/,adj. 雄心勃勃的,a fiercely ambitious young manager,2
ambulance,/ˈæmbjələns/,n. 救护车,Call an ambulance!,3
amend,/əˈmend/,"to change a law, document, statement, etc. slightly in order to correct a mistake or to improve it",He asked to see the amended version.,4
amendment,/əˈmendmənt/,n. 修正案,to introduce/propose/table an amendment (= to suggest it),4
amid,/əˈmɪd/,prep. 之中,He finished his speech amid tremendous applause.,4
among,/əˈmʌŋ/,prep. 之中,a house among the trees,1
amount,/əˈmaʊnt/,n. 数量,I was amazed at the amount he could eat.,1
amusing,/əˈmjuːzɪŋ/,adj. 有趣,an amusing story/game/incident,3
analogy,/əˈnælədʒi/,n. 类比,"analogy (between A and B), The teacher drew an analogy between the human heart and a pump.",4
analyse,/ˈænəlaɪz/,v. 分析,"analyse something, The job involves collecting and analysing data.",2
analysis,/əˈnæləsɪs/,n. 分析,statistical/data analysis,2
analyst,/ˈænəlɪst/,n. 分析师,a political/financial analyst,3
ancestor,/ˈænsestə(r)/,n. 祖先,His ancestors had come to America from Ireland.,3
anchor,/ˈæŋkə(r)/,n. 锚,to drop anchor,4
ancient,/ˈeɪnʃənt/,adj. 古老的,Archaeologists are excavating the ruined temples of this ancient civilization.,1
and,/ənd/,conj. 和,bread and butter,1
angel,/ˈeɪndʒl/,n. 天使,a host of angels,4
anger,/ˈæŋɡə(r)/,n. 愤怒,She had to find a way to express her pent-up anger.,3
angle,/ˈæŋɡl/,n. 角度,a 45° angle,3
angry,/ˈæŋɡri/,adj. 生气的,Her behaviour really made me angry.,1
animal,/ˈænɪml/,n. 动物,the animals and birds of South America,1
animation,/ˌænɪˈmeɪʃn/,n. 动画片,computer/cartoon animation,3
ankle,/ˈæŋkl/,n. 踝,to sprain/break/twist your ankle,1
anniversary,/ˌænɪˈvɜːsəri/,n. 周年纪念日,on the anniversary of his wife’s death,3
announce,/əˈnaʊns/,v. 宣布,"announce something, He officially announced his intention to resign at today's press conference.",2
announcement,/əˈnaʊnsmənt/,n. 公告,to make an announcement,2
annoy,/əˈnɔɪ/,v. 惹恼,"annoy somebody, His constant joking was beginning to annoy her.",2
annoyed,/əˈnɔɪd/,adj. 生气,"annoyed with somebody at/about something, He was beginning to get very annoyed with me about my carelessness.",2
annoying,/əˈnɔɪɪŋ/,adj. 恼人的,This interruption is very annoying.,2
annual,/ˈænjuəl/,adj. 年度的,an annual meeting/event/report/conference,3
annually,/ˈænjuəli/,adv. 每年,The exhibition is held annually.,3
anonymous,/əˈnɒnɪməs/,adj. 匿名的,an anonymous donor,4
another,/əˈnʌðə(r)/,det. 其他,Would you like another drink?,1
answer,/ˈɑːnsə(r)/,n. 回答,"I rang the bell, but there was no answer.",1
anticipate,/ænˈtɪsɪpeɪt/,to expect something,"anticipate something, We don't anticipate any major problems.",3
anxiety,/æŋˈzaɪəti/,n. 焦虑,acute/intense/deep anxiety,3
anxious,/ˈæŋkʃəs/,adj. 焦虑的,The bus was late and Sue began to get anxious.,3
any,/ˈeni/,adv. 任何,He wasn't any good at French.,1
any more,/ˌeni ˈmɔː(r)/,adv. 再多一点,She doesn't live here any more.,1
anybody,/ˈenibɒdi/,pron. 任何人,Is there anybody who can help me?,1
anyone,/ˈeniwʌn/,pron. 任何人,Is anyone there?,1
anything,/ˈeniθɪŋ/,pron. 任何事物,Would you like anything else?,1
anyway,/ˈeniweɪ/,adv. 反正,It's too expensive and anyway the colour doesn't suit you.,1
anywhere,/ˈeniweə(r)/,adv. 任何地方,I can't see it anywhere.,1
apart,/əˈpɑːt/,adv. 分开,The two houses stood 500 metres apart.,2
apartment,/əˈpɑːtmənt/,n. 公寓,an apartment building,1
apologize,/əˈpɒlədʒaɪz/,v. 道歉,Why should I apologize?,2
apology,/əˈpɒlədʒi/,n. 道歉,to offer/make/demand/accept an apology,3
app,/æp/,n. 应用程序,You first need to install the app on your device.,1
apparatus,/ˌæpəˈreɪtəs/,n. 设备,a piece of laboratory apparatus,4
apparent,/əˈpærənt/,adj. 明显的,Their devotion was apparent.,3
apparently,/əˈpærəntli/,adv. 显然,Apparently they are getting divorced soon.,3
appeal,/əˈpiːl/,n. 上诉,"appeal for something, to launch a TV appeal for donations to the charity",3
appealing,/əˈpiːlɪŋ/,adj. 吸引人的,Spending the holidays in Britain wasn't a prospect that I found particularly appealing.,4
appear,/əˈpɪə(r)/,v. 出现,Three days later a rash appeared.,1
appearance,/əˈpɪərəns/,n. 外貌,the physical/outward/external appearance of something,1
appetite,/ˈæpɪtaɪt/,n. 食欲,He suffered from headaches and loss of appetite.,4
applaud,/əˈplɔːd/,v. 鼓掌,He started to applaud and the others joined in.,4
apple,/ˈæpl/,n. 苹果,Peel and core the apples.,1
applicable,/əˈplɪkəbl/,adj. 适用的,Give details of children where applicable (= if you have any).,4
applicant,/ˈæplɪkənt/,n. 申请人,There were over 500 applicants for the job.,3
application,/ˌæplɪˈkeɪʃn/,n. 应用,a planning/patent/visa application,2
apply,/əˈplaɪ/,v. 申请,You should apply in person/by letter.,1
appoint,/əˈpɔɪnt/,v. 委,"appoint somebody, They have appointed a new head teacher at my son's school.",4
appointment,/əˈpɔɪntmənt/,n. 预约,I've got a dental appointment at 3 o'clock.,2
appreciate,/əˈpriːʃieɪt/,v. 欣赏,Over the years he came to appreciate the beauty and tranquillity of the river.,2
appreciation,/əˌpriːʃiˈeɪʃn/,n. 欣赏,She shows little appreciation of good music.,4
approach,/əˈprəʊtʃ/,n. 方法,She took the wrong approach in her dealings with them.,3
appropriate,/əˈprəʊpriət/,adj. 合适的,an appropriate response/measure/method,3
appropriately,/əˈprəʊpriətli/,adv. 适当地,The government has been accused of not responding appropriately to the needs of the homeless.,3
approval,/əˈpruːvl/,n. 赞同,She desperately wanted to win her father's approval.,3
approve,/əˈpruːv/,v. 批准,I told my mother I wanted to leave school but she didn't approve.,3
approximately,/əˈprɒksɪmətli/,adv. 大约,The journey took approximately seven hours.,2
April,/ˈeɪprəl/,n. 四月,"in April, She was born in April.",1
arbitrary,/ˈɑːbɪtrəri/,adj. 随意的,The choice of players for the team seemed completely arbitrary.,4
architect,/ˈɑːkɪtekt/,n. 建筑师,The house was designed by architect Louis Kahn.,1
architectural,/ˌɑːkɪˈtektʃərəl/,adj. 建筑学,architectural features,4
architecture,/ˈɑːkɪtektʃə(r)/,n. 建筑学,to study architecture,1
archive,/ˈɑːkaɪv/,n. 档案,the National Sound Archive,4
area,/ˈeəriə/,n. 区域,to improve access to services in rural areas,1
arena,/əˈriːnə/,n. 竞技场,a concert at Wembley Arena,4
arguably,/ˈɑːɡjuəbli/,adv. 可以说,He is arguably the best actor of his generation.,4
argue,/ˈɑːɡjuː/,v. 争论,My brothers are always arguing.,1
argument,/ˈɑːɡjumənt/,"a conversation or discussion in which two or more people disagree, often angrily",to win/lose an argument ,1
arise,/əˈraɪz/,v. 出现,An opportunity arose to work in the United States.,3
arm,/ɑːm/,n. 手臂,He escaped with only a broken arm.,1
armed,/ɑːmd/,involving the use of weapons,an armed robbery,3
arms,/ɑːmz/,n. 武器,arms and ammunition,3
army,/ˈɑːmi/,n. 军队,The two opposing armies faced each other across the battlefield.,1
around,/əˈraʊnd/,adv. 大约,He arrived around five o'clock.,1
arrange,/əˈreɪndʒ/,v. 安排,"arrange something, The party was arranged quickly.",1
arrangement,/əˈreɪndʒmənt/,n. 安排,Travel and accommodation arrangements have been finalized.,1
array,/əˈreɪ/,n. 大批,a vast array of bottles of different shapes and sizes,4
arrest,/əˈrest/,n. 逮捕,The police made several arrests.,2
arrival,/əˈraɪvl/,n. 到达,We apologize for the late arrival of the train.,2
arrive,/əˈraɪv/,v. 到达,I'll wait until they arrive.,1
arrow,/ˈærəʊ/,n. 箭,a bow and arrow,3
art,/ɑːt/,n. 艺术,modern/contemporary art,1
article,/ˈɑːtɪkl/,n. 文章,to read/write/publish an article,1
articulate,/ɑːˈtɪkjuleɪt/,v. 表达清楚,She struggled to articulate her thoughts.,4
artificial,/ˌɑːtɪˈfɪʃl/,adj. 人造的,an artificial limb/flower/sweetener/fertilizer ,3
artist,/ˈɑːtɪst/,n. 艺术家,an exhibition of work by contemporary British artists,1
artistic,/ɑːˈtɪstɪk/,adj. 艺术的,the artistic works of the period,3
artwork,/ˈɑːtwɜːk/,n. 艺术品,Can you let me have the finished artwork for the poster by Friday?,3
as,/əz/,adv. 作为,You're as tall as your father.,1
ash,/æʃ/,n. 灰,cigarette ash,4
ashamed,/əˈʃeɪmd/,adj. 羞愧,"ashamed of something, She was deeply ashamed of her behaviour at the party.",3
aside,/əˈsaɪd/,adv. 放在一边,She pulled the curtain aside.,3
ask,/ɑːsk/,v. 问,How old are you—if you don’t mind me/my asking?,1
asleep,/əˈsliːp/,adj. 睡着了,I waited until they were all fast asleep (= sleeping deeply).,1
aspect,/ˈæspekt/,n. 方面,"aspect of something, The book aims to cover all aspects of city life.",3
aspiration,/ˌæspəˈreɪʃn/,n. 愿望,I didn't realize you had political aspirations.,4
aspire,/əˈspaɪə(r)/,v. 渴望,"aspire (to something), She aspired to a scientific career.",4
assassination,/əˌsæsɪˈneɪʃn/,n. 暗杀,The president survived a number of assassination attempts.,4
assault,/əˈsɔːlt/,n. 突击,Both men were charged with assault.,4
assemble,/əˈsembl/,v. 集合,All the students were asked to assemble in the main hall.,4
assembly,/əˈsembli/,n. 集会,state/legislative/federal/local assemblies,4
assert,/əˈsɜːt/,v. 断言,"assert that…, She continued to assert that she was innocent.",4
assertion,/əˈsɜːʃn/,n. 断言,He was correct in his assertion that the minister had been lying.,4
assess,/əˈses/,v. 评估,"assess somebody/something, Accurately assessing environmental impacts is very complex.",3
assessment,/əˈsesmənt/,n. 评估,a detailed assessment of the risks involved,3
asset,/ˈæset/,n. 资产,"In his job, patience is an invaluable asset.",3
assign,/əˈsaɪn/,v. 分配,"assign something (to somebody), The teacher assigned a different task to each of the children.",3
assignment,/əˈsaɪnmənt/,n. 任务,Students are required to complete all homework assignments.,2
assist,/əˈsɪst/,v. 协助,Anyone willing to assist can contact this number.,2
assistance,/əˈsɪstəns/,n. 协助,technical/economic/military assistance,3
assistant,/əˈsɪstənt/,adj. 助手,the assistant manager/director/commissioner,1
associate,/əˈsəʊsieɪt/,v. 联系,"associate somebody/something with somebody/something, I always associate the smell of baking with my childhood.",3
associated,/əˈsəʊsieɪtɪd/,adj. 联系,"associated with doing something, the risks associated with taking drugs",3
association,/əˌsəʊsiˈeɪʃn/,n. 协会,Do you belong to any professional or trade associations?,3
assume,/əˈsjuːm/,v. 认为,"assume (that)…, It is reasonable to assume (that) the economy will continue to improve.",3
assumption,/əˈsʌmpʃn/,n. 假设,an underlying/implicit assumption,3
assurance,/əˈʃʊərəns/,n. 保证,They called for assurances that the government is committed to its education policy.,4
assure,/əˈʃʊə(r)/,v. 保证,"assure somebody (that)…, You think I did it deliberately, but I assure you (that) I did not.",3
astonishing,/əˈstɒnɪʃɪŋ/,adj. 惊人,She ran 100m in an astonishing 10.6 seconds.,3
asylum,/əˈsaɪləm/,n. 庇护,to seek/apply for/be granted asylum,4
at,/ət/,prep. 在,at the corner of the street,1
athlete,/ˈæθliːt/,n. 运动员,Olympic athletes,1
atmosphere,/ˈætməsfɪə(r)/,n. 气氛,Wind power doesn't release carbon dioxide into the atmosphere.,2
atrocity,/əˈtrɒsəti/,n. 暴行,"In the war, both sides committed atrocities.",4
attach,/əˈtætʃ/,v. 附,"attach something, I attach a copy of my notes for your information.",2
attachment,/əˈtætʃmənt/,n. 依恋,No attachment was included.,3
attack,/əˈtæk/,n. 攻击,Five people were killed in the attacks that took place last night.,1
attain,/əˈteɪn/,v. 达到,Most of our students attained five ‘A’ grades in their exams.,4
attempt,/əˈtempt/,n. 试图,I passed my driving test at the first attempt.,3
attend,/əˈtend/,to be present at an event,We'd like as many people as possible to attend.,1
attendance,/əˈtendəns/,n. 出席率,Attendance at these lectures is not compulsory.,4
attention,/əˈtenʃn/,excl. 注意力,"Attention, please! Passengers for flight KL412 are requested to go to gate 21 immediately.",1
attitude,/ˈætɪtjuːd/,n. 态度,"attitude towards somebody/something, These societies have to change their attitudes towards women.",2
attorney,/əˈtɜːni/,n. 律师,The prosecuting attorney began with a short opening statement.,4
attract,/əˈtrækt/,v. 吸引,"be attracted by somebody/something, I had always been attracted by the idea of working abroad.",2
attraction,/əˈtrækʃn/,n. 景点,Buckingham Palace is a major tourist attraction.,2
attractive,/əˈtræktɪv/,adj. 吸引人的,an attractive woman,1
attribute,/ˈætrɪbjuːt/,n. 属性,Patience is one of the most important attributes in a teacher.,4
auction,/ˈɔːkʃn/,n. 拍卖,an auction of paintings,3
audience,/ˈɔːdiəns/,n. 观众,The audience was/were clapping for 10 minutes.,1
audio,/ˈɔːdiəʊ/,adj. 声音的,audio and video recordings/files/clips,3
audit,/ˈɔːdɪt/,n. 审计,an annual audit,4
August,/ˈɔːɡəst/,n. 八月,She was born in August.,1
aunt,/ɑːnt/,n. 阿姨,Aunt Alice,1
